run_at_utc,n_samples,scoring_seconds,accuracy,precision,recall,f1,balanced_accuracy,roc_auc
2026-03-03T04:22:22.859665+00:00,500,0.0607509003020823,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-06T00:48:42.282061+00:00,500,0.07254349999129772,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-06T00:51:10.903849+00:00,500,0.050139099825173616,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-08T23:35:46.750132+00:00,500,0.04186160024255514,0.82,0.95,0.8525641025641025,0.8986486486486487,0.5981570512820513,
