model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_f1_std,cv_fit_time_mean,test_accuracy,test_precision,test_recall,test_f1,test_balanced_accuracy,test_roc_auc,selection_score
logistic_regression,0.9971507048474365,1.0,0.9970090243563977,0.9985013244770716,0.0009744315692530932,0.7288196802139282,0.9973987365291713,1.0,0.9972688255950058,0.9986325454190271,0.9986344127975029,0.9999939036285603,0.935700555198859
random_forest,1.0,1.0,1.0,1.0,0.0,2.968828558921814,1.0,1.0,1.0,1.0,1.0,1.0,0.8877945274715392
heuristic,0.790260345737176,0.9613646422777757,0.8124553345678678,0.8805885792058634,0.008982604876191437,0.6727004051208496,0.7985878855444073,0.9637448370812299,0.8193523214982442,0.8857022353437368,0.6010824107491222,,0.8688710356256084
